"pattern_code","theme","title","content"
"PATTERN_001","general","軽度の注意が必要な相性","この相性は一部の側面で注意が必要ですが、全体としては大きな問題はありません。コミュニケーションを工夫することで、良好な関係を築くことも可能です。互いの違いを尊重し、理解を深めることで徐々に関係が改善していくでしょう。"
"PATTERN_001","relationship","やや注意が必要な恋愛相性","恋愛関係においては、時に小さな誤解が生じやすい相性です。お互いの価値観の違いを理解し尊重することで、安定した関係に発展する可能性があります。定期的なコミュニケーションを心がけ、互いの気持ちを素直に伝え合うことが大切です。"
"PATTERN_001","business","軽度の注意が必要なビジネス相性","仕事上の関係では、時に意見の相違が生じることがありますが、それを前向きな議論に変えることができれば、むしろ創造的な結果を生み出せる可能性があります。役割分担を明確にし、定期的なフィードバックを行うことで、より良い関係を築けるでしょう。"
"PATTERN_001","friendship","軽度の注意が必要な相性","この相性は一部の側面で注意が必要ですが、全体としては大きな問題はありません。コミュニケーションを工夫することで、良好な関係を築くことも可能です。互いの違いを尊重し、理解を深めることで徐々に関係が改善していくでしょう。"
"PATTERN_001","family","軽度の注意が必要な相性","この相性は一部の側面で注意が必要ですが、全体としては大きな問題はありません。コミュニケーションを工夫することで、良好な関係を築くことも可能です。互いの違いを尊重し、理解を深めることで徐々に関係が改善していくでしょう。"
"PATTERN_002","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  特に摩擦, 衝突の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_002","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  特に衝突, 価値観の違いの面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_002","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  特に価値観の違い, 衝突の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_002","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  特に衝突, 誤解の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_002","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素がより顕著に表れます。  特に誤解, 摩擦の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_003","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に摩擦, 衝突の面で特徴が現れるでしょう。 互いに干渉しすぎないよう、境界線を明確にしておきましょう。"
"PATTERN_003","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に衝突, 誤解の面で特徴が現れるでしょう。 必要以上の関わりは避け、一定の距離を保つことが賢明です。"
"PATTERN_003","business","避けるべき相性のビジネス関係","仕事やビジネス関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に誤解, 衝突の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_003","friendship","避けるべき相性の友人関係","友人関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に価値観の違い, 摩擦の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_003","family","避けるべき相性の家族関係","家族関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が非常に強く、関係において慎重なアプローチが必要です。  特に衝突, 誤解の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
"PATTERN_004","general","避けるべき相性","この相性は全体的に 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に摩擦, 誤解の面で特徴が現れるでしょう。 衝突を避けるため、デリケートな話題には触れないように気をつけましょう。"
"PATTERN_004","relationship","避けるべき相性の恋愛関係","恋愛や結婚関係においては 大きな課題があり、互いに距離を置くことが賢明かもしれません。 注意が必要な相性の要素が極めて強く、関係において特に注意が必要です。  特に誤解, 摩擦の面で特徴が現れるでしょう。 重要な決断を共にすることは控えた方が良いでしょう。"
